title,body_part,difficulty,equipment,image1,image2
Partner Standing Row with Resistance Tubing ,"['Arms', 'Back', 'Butt/Hips']",Intermediate,['Resistance Bands/Cables'],PartnerStandingRowwithResistanceTubing_242-1.jpg,PartnerStandingRowwithResistanceTubing_242-2.jpg
Squat,['Butt/Hips'],Intermediate,['Medicine Ball'],Squat_242-1.jpg,Squat_242-2.jpg
High-low Partner See-saw,['Full Body/Integrated'],Intermediate,['Resistance Bands/Cables'],High-lowPartnerSee-saw_242-1.jpg,High-lowPartnerSee-saw_242-2.jpg
Supine Shoulder Roll,"['Abs', 'Butt/Hips']",Intermediate,['Stability Ball'],SupineShoulderRoll_242-1.jpg,SupineShoulderRoll_242-2.jpg
Side Plank,['Abs'],Intermediate,['BOSU Trainer'],SidePlank_242-1.jpg,SidePlank_242-2.jpg
V-twist,['Abs'],Intermediate,['BOSU Trainer'],V-twist_305-1.jpg,V-twist_305-2.jpg
Toe Taps,['Full Body/Integrated'],Intermediate,['BOSU Trainer'],ToeTaps_305-1.jpg,ToeTaps_305-2.jpg
Reverse Bicep Curl,['Arms'],Intermediate,['Barbell'],ReverseBicepCurl_305-1.jpg,ReverseBicepCurl_305-2.jpg
Close-grip Bench Press,"['Arms', 'Chest']",Intermediate,['Barbell'],Close-gripBenchPress_305-1.jpg,Close-gripBenchPress_305-2.jpg
Romanian Deadlift,"['Back', 'Butt/Hips', 'Legs - Thighs']",Intermediate,['Barbell'],RomanianDeadlift_305-1.jpg,RomanianDeadlift_305-2.jpg
Hip Bridge,['Butt/Hips'],Intermediate,['Barbell'],HipBridge_305-1.jpg,HipBridge_305-2.jpg
Reverse Lunge,"['Butt/Hips', 'Legs - Thighs']",Intermediate,['Barbell'],ReverseLunge_305-1.jpg,ReverseLunge_305-2.jpg
Plank-ups,"['Abs', 'Arms', 'Chest']",Intermediate,['No Equipment'],Plank-ups_305-1.jpg,Plank-ups_305-2.jpg
Single Arm Plank,['Abs'],Intermediate,['No Equipment'],SingleArmPlank_305-1.jpg,SingleArmPlank_305-2.jpg
Lateral Crawls,['Full Body/Integrated'],Intermediate,['No Equipment'],LateralCrawls_305-1.jpg,LateralCrawls_305-2.jpg
Standing Anti-rotation Press,"['Abs', 'Arms', 'Chest']",Intermediate,['Resistance Bands/Cables'],StandingAnti-rotationPress_305-1.jpg,StandingAnti-rotationPress_305-2.jpg
Straight Arm Pressdown,['Back'],Intermediate,['Resistance Bands/Cables'],StraightArmPressdown_305-1.jpg,StraightArmPressdown_305-2.jpg
Standing Row,['Back'],Intermediate,['Resistance Bands/Cables'],StandingRow_335-1.jpg,StandingRow_335-2.jpg
